LOCATION;SUBJECT;MEASURE;TIME;Value
ARG;MAIZE;TONNE_HA;1990;3.46
ARG;MAIZE;TONNE_HA;1991;4.04
ARG;MAIZE;TONNE_HA;1992;4.52
ARG;MAIZE;TONNE_HA;1993;4.36
ARG;MAIZE;TONNE_HA;1994;4.24
ARG;MAIZE;TONNE_HA;1995;4.52
ARG;MAIZE;TONNE_HA;1996;4.04
ARG;MAIZE;TONNE_HA;1997;4.56
ARG;MAIZE;TONNE_HA;1998;6.08
ARG;MAIZE;TONNE_HA;1999;5.37
ARG;MAIZE;TONNE_HA;2000;5.42
ARG;MAIZE;TONNE_HA;2001;5.46
ARG;MAIZE;TONNE_HA;2002;6.08
ARG;MAIZE;TONNE_HA;2003;6.48
ARG;MAIZE;TONNE_HA;2004;6.39
ARG;MAIZE;TONNE_HA;2005;7.36
ARG;MAIZE;TONNE_HA;2006;5.9
ARG;MAIZE;TONNE_HA;2007;7.67
ARG;MAIZE;TONNE_HA;2008;6.45
ARG;MAIZE;TONNE_HA;2009;5.56
ARG;MAIZE;TONNE_HA;2010;7.81
ARG;MAIZE;TONNE_HA;2011;6.35
ARG;MAIZE;TONNE_HA;2012;5.74
ARG;MAIZE;TONNE_HA;2013;6.6
ARG;MAIZE;TONNE_HA;2014;6.82
ARG;MAIZE;TONNE_HA;2015;7.31
ARG;MAIZE;TONNE_HA;2016;7.86
ARG;MAIZE;TONNE_HA;2017;7.33
ARG;MAIZE;TONNE_HA;2018;7.39
ARG;MAIZE;TONNE_HA;2019;7.47
ARG;MAIZE;TONNE_HA;2020;7.54
ARG;MAIZE;TONNE_HA;2021;7.64
ARG;MAIZE;TONNE_HA;2022;7.71
ARG;MAIZE;TONNE_HA;2023;7.78
ARG;MAIZE;TONNE_HA;2024;7.86
ARG;MAIZE;TONNE_HA;2025;7.94
ARG;MAIZE;TONNE_HA;2026;8.02
ARG;RICE;TONNE_HA;1990;2.49
ARG;RICE;TONNE_HA;1991;2.75
ARG;RICE;TONNE_HA;1992;3.53
ARG;RICE;TONNE_HA;1993;2.95
ARG;RICE;TONNE_HA;1994;2.93
ARG;RICE;TONNE_HA;1995;3.42
ARG;RICE;TONNE_HA;1996;3.47
ARG;RICE;TONNE_HA;1997;3.64
ARG;RICE;TONNE_HA;1998;3.25
ARG;RICE;TONNE_HA;1999;3.9
ARG;RICE;TONNE_HA;2000;3.25
ARG;RICE;TONNE_HA;2001;3.88
ARG;RICE;TONNE_HA;2002;3.91
ARG;RICE;TONNE_HA;2003;3.67
ARG;RICE;TONNE_HA;2004;4.26
ARG;RICE;TONNE_HA;2005;4.09
ARG;RICE;TONNE_HA;2006;4.8
ARG;RICE;TONNE_HA;2007;4.46
ARG;RICE;TONNE_HA;2008;4.66
ARG;RICE;TONNE_HA;2009;4.62
ARG;RICE;TONNE_HA;2010;3.92
ARG;RICE;TONNE_HA;2011;4.62
ARG;RICE;TONNE_HA;2012;4.53
ARG;RICE;TONNE_HA;2013;4.57
ARG;RICE;TONNE_HA;2014;4.42
ARG;RICE;TONNE_HA;2015;4.56
ARG;RICE;TONNE_HA;2016;4.6
ARG;RICE;TONNE_HA;2017;4.53
ARG;RICE;TONNE_HA;2018;4.57
ARG;RICE;TONNE_HA;2019;4.62
ARG;RICE;TONNE_HA;2020;4.69
ARG;RICE;TONNE_HA;2021;4.74
ARG;RICE;TONNE_HA;2022;4.8
ARG;RICE;TONNE_HA;2023;4.85
ARG;RICE;TONNE_HA;2024;4.91
ARG;RICE;TONNE_HA;2025;4.97
ARG;RICE;TONNE_HA;2026;5.03
ARG;SOYBEAN;TONNE_HA;1990;2.42
ARG;SOYBEAN;TONNE_HA;1991;2.29
ARG;SOYBEAN;TONNE_HA;1992;2.16
ARG;SOYBEAN;TONNE_HA;1993;2.04
ARG;SOYBEAN;TONNE_HA;1994;2.04
ARG;SOYBEAN;TONNE_HA;1995;2.11
ARG;SOYBEAN;TONNE_HA;1996;1.72
ARG;SOYBEAN;TONNE_HA;1997;2.69
ARG;SOYBEAN;TONNE_HA;1998;2.44
ARG;SOYBEAN;TONNE_HA;1999;2.34
ARG;SOYBEAN;TONNE_HA;2000;2.58
ARG;SOYBEAN;TONNE_HA;2001;2.63
ARG;SOYBEAN;TONNE_HA;2002;2.8
ARG;SOYBEAN;TONNE_HA;2003;2.21
ARG;SOYBEAN;TONNE_HA;2004;2.73
ARG;SOYBEAN;TONNE_HA;2005;2.68
ARG;SOYBEAN;TONNE_HA;2006;2.97
ARG;SOYBEAN;TONNE_HA;2007;2.82
ARG;SOYBEAN;TONNE_HA;2008;2.39
ARG;SOYBEAN;TONNE_HA;2009;2.91
ARG;SOYBEAN;TONNE_HA;2010;2.61
ARG;SOYBEAN;TONNE_HA;2011;2.79
ARG;SOYBEAN;TONNE_HA;2012;2.54
ARG;SOYBEAN;TONNE_HA;2013;2.77
ARG;SOYBEAN;TONNE_HA;2014;3.14
ARG;SOYBEAN;TONNE_HA;2015;3.1
ARG;SOYBEAN;TONNE_HA;2016;3.13
ARG;SOYBEAN;TONNE_HA;2017;3.06
ARG;SOYBEAN;TONNE_HA;2018;3.09
ARG;SOYBEAN;TONNE_HA;2019;3.12
ARG;SOYBEAN;TONNE_HA;2020;3.16
ARG;SOYBEAN;TONNE_HA;2021;3.18
ARG;SOYBEAN;TONNE_HA;2022;3.22
ARG;SOYBEAN;TONNE_HA;2023;3.25
ARG;SOYBEAN;TONNE_HA;2024;3.29
ARG;SOYBEAN;TONNE_HA;2025;3.32
ARG;SOYBEAN;TONNE_HA;2026;3.39
ARG;WHEAT;TONNE_HA;1990;1.9
ARG;WHEAT;TONNE_HA;1991;2.18
ARG;WHEAT;TONNE_HA;1992;2.33
ARG;WHEAT;TONNE_HA;1993;2.02
ARG;WHEAT;TONNE_HA;1994;2.17
ARG;WHEAT;TONNE_HA;1995;1.93
ARG;WHEAT;TONNE_HA;1996;2.24
ARG;WHEAT;TONNE_HA;1997;2.61
ARG;WHEAT;TONNE_HA;1998;2.3
ARG;WHEAT;TONNE_HA;1999;2.43
ARG;WHEAT;TONNE_HA;2000;2.49
ARG;WHEAT;TONNE_HA;2001;2.24
ARG;WHEAT;TONNE_HA;2002;2.03
ARG;WHEAT;TONNE_HA;2003;2.54
ARG;WHEAT;TONNE_HA;2004;2.63
ARG;WHEAT;TONNE_HA;2005;2.53
ARG;WHEAT;TONNE_HA;2006;2.63
ARG;WHEAT;TONNE_HA;2007;2.83
ARG;WHEAT;TONNE_HA;2008;1.98
ARG;WHEAT;TONNE_HA;2009;2.76
ARG;WHEAT;TONNE_HA;2010;3.51
ARG;WHEAT;TONNE_HA;2011;3.13
ARG;WHEAT;TONNE_HA;2012;2.53
ARG;WHEAT;TONNE_HA;2013;2.52
ARG;WHEAT;TONNE_HA;2014;2.64
ARG;WHEAT;TONNE_HA;2015;2.59
ARG;WHEAT;TONNE_HA;2016;3.31
ARG;WHEAT;TONNE_HA;2017;2.78
ARG;WHEAT;TONNE_HA;2018;2.81
ARG;WHEAT;TONNE_HA;2019;2.84
ARG;WHEAT;TONNE_HA;2020;2.87
ARG;WHEAT;TONNE_HA;2021;2.9
ARG;WHEAT;TONNE_HA;2022;2.93
ARG;WHEAT;TONNE_HA;2023;2.95
ARG;WHEAT;TONNE_HA;2024;2.98
ARG;WHEAT;TONNE_HA;2025;3.01
ARG;WHEAT;TONNE_HA;2026;3.04
AUS;MAIZE;TONNE_HA;1990;4.21
AUS;MAIZE;TONNE_HA;1991;3.96
AUS;MAIZE;TONNE_HA;1992;5.17
AUS;MAIZE;TONNE_HA;1993;4.42
AUS;MAIZE;TONNE_HA;1994;4.64
AUS;MAIZE;TONNE_HA;1995;4.84
AUS;MAIZE;TONNE_HA;1996;5.55
AUS;MAIZE;TONNE_HA;1997;5.94
AUS;MAIZE;TONNE_HA;1998;4.77
AUS;MAIZE;TONNE_HA;1999;5.28
AUS;MAIZE;TONNE_HA;2000;5.41
AUS;MAIZE;TONNE_HA;2001;4.6
AUS;MAIZE;TONNE_HA;2002;4.88
AUS;MAIZE;TONNE_HA;2003;4.43
AUS;MAIZE;TONNE_HA;2004;5
AUS;MAIZE;TONNE_HA;2005;5.6
AUS;MAIZE;TONNE_HA;2006;5.4
AUS;MAIZE;TONNE_HA;2007;4.88
AUS;MAIZE;TONNE_HA;2008;5.69
AUS;MAIZE;TONNE_HA;2009;5.78
